doi_link,title,abstract,keywords,CCS concepts,author_names,affiliations,affiliated_countries
https://doi.org/10.1145/3593013.3594084,A Sociotechnical Audit: Assessing Police Use of Facial Recognition,"Algorithmic audits are increasingly used to hold people accountable for the algorithms they implement. However, much work remains to integrate ethical and legal evaluations of how algorithms are used into audits. In this paper, we present a sociotechnical audit to help external stakeholders evaluate the ethics and legality of police use of facial recognition technology. We developed this audit for the specific legal context of England and Wales, and to bring attention to broader concerns such as whether police consult affected communities and comply with human rights law. To design this audit, we compiled ethical and legal standards for governing facial recognition, based on existing literature and feedback from academia, government, civil society, and police organizations. We then applied the resulting audit tool to three facial recognition deployments by police forces in the UK and found that all three failed to meet these standards. Developing this audit helps us provide insights to researchers in designing their own sociotechnical audits, specifically how audits shift power, how to make audits context-specific, how audits reveal what is not transparent, and how audits lead to accountability.","['algorithmic audits', 'accountability', 'ethical and legal considerations', 'facial recognition technology']","['Social and professional topics _ Surveillance', 'Social and professional topics _ Technology audits', 'Security and privacy _ Human and societal aspects of security and privacy']","['Evani Radiya-Dixit', 'Gina Neff']","['Minderoo Centre for Technology and Democracy, University of Cambridge', 'Minderoo Centre for Technology and Democracy, University of Cambridge']","['United Kingdom', 'United Kingdom']"
https://doi.org/10.1145/3593013.3594090,Navigating the Audit Landscape: A Framework for Developing Transparent and Auditable XR,"“Extended reality” (XR) systems work to blend the physical and digital worlds. This means that XR is highly contextual: its functionality, operation and therefore consequences are driven by a tight, run-time coupling of the technology, the user, and their physical environment. It follows that XR brings particular challenges regarding transparency and accountability, given that it can be difficult to foresee and mitigate all potential issues that might arise from using such systems, given their many potential contexts of use. Further, the physicality of XR can directly result in injury, property damage, or worse, in addition to the more traditionally discussed harms arising from algorithmic systems. Therefore the ability to audit the operation of XR systems is paramount – where information revealing and enabling some reconstruction of an XR system’s use, run-time behaviour, and surrounding context is important for understanding and scrutinising what happens/happened, and why.  Towards this, we present a framework to support those involved in developing XR systems to make them more auditable. The framework focuses on supporting the building and instrumentation of an XR system for transparency aims, elaborating key considerations regarding the capture and management of audit data during system operation. We demonstrate the framework’s efficacy with expert XR developers, who indicate the utility and need for such in practice. In all, we provide practical ways forward on, as well as seek to draw attention to, XR transparency and accountability.","['audit', 'transparency', 'accountability', 'responsibility', 'auditability', 'reviewability', 'trust', 'augmented reality', 'virtual reality', 'mixed reality']","['Human-centered computing _ Ubiquitous and mobile computing design and evaluation methods', 'Human-centered computing _ Mixed / augmented reality', 'Human-centered computing _ Virtual reality', 'Social and professional topics _ Technology audits', 'Human-centered computing _ Ubiquitous and mobile computing systems and tools']","['Chris Norval', 'Richard Cloete', 'Jatinder Singh']","['University of Cambridge', 'University of Harvard', 'University of Cambridge']","['United Kingdom', 'USA', 'United Kingdom']"
https://doi.org/10.1145/3593013.3594001,"Explainable AI is Dead, Long Live Explainable AI! Hypothesis-Driven Decision Support Using Evaluative AI","In this paper, we argue for a paradigm shift from the current model of explainable artificial intelligence (XAI), which may be counter-productive to better human decision making. In early decision support systems, we assumed that we could give people recommendations and that they would consider them, and then follow them when required. However, research found that people often ignore recommendations because they do not trust them; or perhaps even worse, people follow them blindly, even when the recommendations are wrong. Explainable artificial intelligence mitigates this by helping people to understand how and why models give certain recommendations. However, recent research shows that people do not always engage with explainability tools enough to help improve decision making. The assumption that people will engage with recommendations and explanations has proven to be unfounded. We argue this is because we have failed to account for two things. First, recommendations (and their explanations) take control from human decision makers, limiting their agency. Second, giving recommendations and explanations does not align with the cognitive processes employed by people making decisions. This position paper proposes a new conceptual framework called Evaluative AI for explainable decision support. This is a machine-in-the-loop paradigm in which decision support tools provide evidence for and against decisions made by people, rather than provide recommendations to accept or reject. We argue that this mitigates issues of over- and under-reliance on decision support tools, and better leverages human expertise in decision making.",[],"['Computing methodologies _ Artificial intelligence', 'Human-centered computing _ HCI theory, concepts and models']",['Tim Miller'],['The University of Melbourne'],['Australia']
https://doi.org/10.1145/3593013.3594074,"Explainability in AI Policies: A Critical Review of Communications, Reports, Regulations, and Standards in the EU, US, and UK","Public attention towards explainability of artificial intelligence (AI) systems has been rising in recent years to offer methodologies for human oversight. This has translated into the proliferation of research outputs, such as from Explainable AI, to enhance transparency and control for system debugging and monitoring, and intelligibility of system process and output for user services. Yet, such outputs are difficult to adopt on a practical level due to a lack of a common regulatory baseline, and the contextual nature of explanations. Governmental policies are now attempting to tackle such exigence, however it remains unclear to what extent published communications, regulations, and standards adopt an informed perspective to support research, industry, and civil interests. In this study, we perform the first thematic and gap analysis of this plethora of policies and standards on explainability in the EU, US, and UK. Through a rigorous survey of policy documents, we first contribute an overview of governmental regulatory trajectories within AI explainability and its sociotechnical impacts. We find that policies are often informed by coarse notions and requirements for explanations. This might be due to the willingness to conciliate explanations foremost as a risk management tool for AI oversight, but also due to the lack of a consensus on what constitutes a valid algorithmic explanation, and how feasible the implementation and deployment of such explanations are across stakeholders of an organization. Informed by AI explainability research, we then conduct a gap analysis of existing policies, which leads us to formulate a set of recommendations on how to address explainability in regulations for AI systems, especially discussing the definition, feasibility, and usability of explanations, as well as allocating accountability to explanation providers.","['Explainable AI', 'AI policy', 'social epistemology']","['Applied computing _ Law', 'Social and professional topics _ Governmental regulations']","['Luca Nannini', 'Agathe Balayn', 'Adam Leon Smith']","['Minsait - Indra Sistemas, Spain and CiTIUS (Centro Singular de Investigación en Tecnoloxías Intelixentes), Universidade de Santiago de Compostela', 'Delft University of Technology']","['Spain', 'Netherlands', 'Spain']"
https://doi.org/10.1145/3593013.3594017,A Theory of Auditability for Allocation and Social Choice Mechanisms,"In centralized market mechanisms individuals may not fully observe other participants' type reports. Hence, the mechanism designer may deviate from the promised mechanism without the individuals being able to detect these deviations. In this paper, we develop a theory of auditability for allocation and social choice problems. Namely, we measure a mechanism's auditabilty by the smallest number of individuals that can jointly detect any deviation. Our theory reveals stark contrasts between prominent mechanisms' auditabilities in various applications. For priority-based allocation problems, we find that the Immediate Acceptance mechanism is maximally auditable, in a sense that any deviation can always be detected by just two individuals, whereas, on the other extreme, the Deferred Acceptance mechanism is minimally auditable, in a sense that some deviations may go undetected unless some individuals possess full information about everyone's reports. For the auctions setup, we find a similar contrast between the first-price and the second-price auction mechanisms. For voting problems, we characterize the majority voting rule as the unique most auditable anonymous voting mechanism. And finally, for the choice with affirmative action setting, we compare the auditability indices of prominent reserves mechanisms.","['auditability', 'mechanisms', 'auctions', 'allocation', 'affirmative action']","['Accountability', 'Auditing', 'Economics', 'Explainability', 'Mechanism Design', 'Social Choice']","['Aram Grigoryan', 'Markus Möller']","['University of California, San Diego', 'University of Bonn']","['USA', 'Germany']"
https://doi.org/10.1145/3593013.3594060,Towards Labor Transparency in Situated Computational Systems Impact Research,"Researchers seeking to examine and prevent technology-mediated harms have emphasized the importance of directly engaging with community stakeholders through participatory approaches to computational systems research. However, recent transformations in strategies of corporate capture within the tech industry pose significant challenges to established participatory practices. In this paper we extend existing critical participatory design scholarship to highlight the exploitative potential of labor relationships in community collaborations between researchers and participants. Drawing on a reflexive approach to our own experiences conducting agonistic participatory research on emerging technologies at a large technology company, we highlight the limitations of doing participatory work within such contexts by empirically illustrating how and when these relationships threaten to appropriate and alienate participant labor. We argue that a labor-conscious approach to computational systems impact research is critical for countering the commodification of inclusion and invite fellow researchers to more actively investigate such dynamics. To this end, we provide (1) a framework for documenting divisions of labor within participatory research, design, and data practices, and (2) a series of short provocations that help locate and inventory sites of extraction within participatory engagements.","['impact', 'inclusion', 'labor', 'participatory design', 'agonism', 'documentation', 'transparency']","['Human-centered computing _ Participatory design', 'Human-centered computing _ Collaborative and social computing design and evaluation methods']","['Felicia S. Jing', 'Sara E. Berger', 'Juana Catalina Becerra Sandoval']","['Responsible & Inclusive Technologies, IBM Research, USA and Department of Political Science, Johns Hopkins University', 'Responsible & Inclusive Technologies, IBM Research', 'Responsible & Inclusive Technologies, IBM Research']","['USA', 'USA', 'USA']"
https://doi.org/10.1145/3593013.3594014,Algorithms as Social-Ecological-Technological Systems: An Environmental Justice Lens on Algorithmic Audits,"This paper reframes algorithmic systems as intimately connected to and part of social and ecological systems, and proposes a first-of-its-kind methodology for environmental justice-oriented algorithmic audits. How do we consider environmental and climate justice dimensions of the way algorithmic systems are designed, developed, and deployed? These impacts are inherently emergent and can only be understood and addressed at the level of relations between an algorithmic system and the social (including institutional) and ecological components of the broader ecosystem it operates in. As a result, we claim that in absence of an integral ontology for algorithmic systems, we cannot do justice to the emergent nature of broader environmental impacts of algorithmic systems and their underlying computational infrastructure. Furthermore, an integral lens provides many lessons from the history of environmental justice that are of relevance in current day struggles for algorithmic justice. We propose to define algorithmic systems as ontologically indistinct from Social-Ecological-Technological Systems (SETS), framing emergent implications as couplings between social, ecological, and technical components of the broader fabric in which algorithms are integrated and operate. We draw upon prior work on SETS analysis as well as emerging themes in the literature and practices of Environmental Justice (EJ) to conceptualize and assess algorithmic impact. We then offer three policy recommendations to help establish a SETS-based EJ approach to algorithmic audits: (1) broaden the inputs and open-up the outputs of an audit, (2) enable meaningful access to redress, and (3) guarantee a place-based and relational approach to the process of evaluating impact. We operationalize these as a qualitative framework of questions for a spectrum of stakeholders. Doing so, this article aims to inspire stronger and more frequent interactions across policymakers, researchers, practitioners, civil society, and grassroots communities. https://arxiv.org/abs/2305.05733.",[],"['Social and professional topics _ Computing / technology policy', 'Social and professional topics _ Technology audits', 'Software and its engineering _ Software development process management']","['Bogdana Rakova', 'Roel Dobbe']","['Mozilla Foundation', 'Delft University of Technology']","['USA', 'Netherlands']"
https://doi.org/10.1145/3593013.3594098,Auditing Cross-Cultural Consistency of Human-Annotated Labels for Recommendation Systems,"Recommendation systems increasingly depend on massive human-labeled datasets; however, the human annotators hired to generate these labels increasingly come from homogeneous backgrounds. This poses an issue when downstream predictive models—based on these labels—are applied globally to a heterogeneous set of users. We study this disconnect with respect to the labels themselves, asking whether they are “consistently conceptualized” across annotators of different demographics. In a case study of video game labels, we conduct a survey on 5,174 gamers, identify a subset of inconsistently conceptualized game labels, perform causal analyses, and suggest both cultural and linguistic reasons for cross-country differences in label annotation. We further demonstrate that predictive models of game annotations perform better on global train sets as opposed to homogeneous (single-country) train sets. Finally, we provide a generalizable framework for practitioners to audit their own data annotation processes for consistent label conceptualization, and encourage practitioners to consider global inclusivity in recommendation systems starting from the early stages of annotator recruitment and data-labeling.","['label bias', 'human annotations', 'cultural bias', 'linguistic bias', 'poststratification', 'causal inference', 'recommendation systems']","['Social and professional topics _ Cultural characteristics', 'Human-centered computing _ Social recommendation']","['Rock Yuren Pang', 'Jack Cenatempo', 'Franklyn Graham', 'Bridgette Kuehn', 'Maddy Whisenant', 'Portia Botchway', 'Katie Stone Perez', 'Allison Koenecke']","['University of Washington', 'Microsoft Research', 'Microsoft Corporation – Xbox Division', 'Microsoft Corporation – Xbox Division', 'Microsoft Corporation – Xbox Division', 'Microsoft Corporation – Xbox Division', 'Microsoft Corporation – Xbox Division', 'Cornell University']","['USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA', 'USA']"
https://doi.org/10.1145/3593013.3594009,Algorithmic Transparency and Accountability through Crowdsourcing: A Study of the NYC School Admission Lottery,"Algorithms are used to aid decision-making for a wide range of public policy decisions. Yet, the details of the algorithmic processes and how to interact with their systems are often inadequately communicated to stakeholders, leaving them frustrated and distrusting of the outcomes of the decisions. Transparency and accountability are critical prerequisites for building trust in the results of decisions and guaranteeing fair and equitable outcomes. Unfortunately, organizations and agencies do not have strong incentives to explain and clarify their decision processes; however, stakeholders are not powerless and can strategically combine their efforts to push for more transparency.  In this paper, I discuss the results and lessons learned from such an effort: a parent-led crowdsourcing campaign to increase transparency in the New York City school admission process. NYC famously uses a deferred-acceptance matching algorithm to assign students to schools, but families are given very little, and often wrong, information on the mechanisms of the system in which they have to participate. Furthermore, the odds of matching to specific schools depend on a complex set of priority rules and tie-breaking random (lottery) numbers, whose impact on the outcome is not made clear to students and their families, resulting in many “wasted choices” on students’ ranked lists and a high rate of unmatched students. Using the results of a crowdsourced survey of school application results, I was able to explain how random tie-breakers factored in the admission, adding clarity and transparency to the process. The results highlighted several issues and inefficiencies in the match and made the case for the need for more accountability and verification in the system.","['school matching', 'crowdsourcing', 'accountability', 'transparency']","['Social and professional topics _ Government technology policy', 'Human-centered computing _ User studies']",['Amelie Marian'],"['Computer Science, Rutgers University, New Brunswick']",['USA']
https://doi.org/10.1145/3593013.3594069,The Role of Explainable AI in the Context of the AI Act,"The proposed EU regulation for Artificial Intelligence (AI), the AI Act, has sparked some debate about the role of explainable AI (XAI) in high-risk AI systems. Some argue that black-box AI models will have to be replaced with transparent ones, others argue that using XAI techniques might help in achieving compliance. This work aims to bring some clarity as regards XAI in the context of the AI Act and focuses in particular on the AI Act requirements for transparency and human oversight. After outlining key points of the debate and describing the current limitations of XAI techniques, this paper carries out an interdisciplinary analysis of how the AI Act addresses the issue of opaque AI systems. In particular, we argue that neither does the AI Act mandate a requirement for XAI, which is the subject of intense scientific research and is not without technical limitations, nor does it ban the use of black-box AI systems. Instead, the AI Act aims to achieve its stated policy objectives with the focus on transparency (including documentation) and human oversight. Finally, in order to concretely illustrate our findings and conclusions, a use case on AI-based proctoring is presented.","['explainable artificial intelligence', 'XAI', 'AI Act', 'EU regulation', 'trustworthy AI', 'transparency', 'human oversight']","['Computing methodologies _ Artificial intelligence', 'Applied computing _ Law']","['Cecilia Panigutti', 'Ronan Hamon', 'Isabelle Hupont', 'David Fernandez Llorca', 'Delia Fano Yela', 'Henrik Junklewitz', 'Salvatore Scalzo', 'Gabriele Mazzini', 'Ignacio Sanchez', 'Josep Soler Garrido', 'Emilia Gomez']","['European Commission, Joint Research Centre (JRC), Ispra', 'European Commission, Joint Research Centre (JRC), Ispra', 'European Commission, Joint Research Centre (JRC), Sevilla', 'European Commission, Joint Research Centre (JRC), Sevilla', 'European Commission, Joint Research Centre (JRC), Sevilla', 'European Commission, Joint Research Centre (JRC), Ispra', 'European Commission', 'European Commission', 'European Commission, Joint Research Centre (JRC), Ispra', 'European Commission, Joint Research Centre (JRC), Sevilla', 'European Commission, Joint Research Centre (JRC), Sevilla']","['Italy', 'Italy', 'Spain', 'Spain', 'Spain', 'Italy', 'Belgium', 'Belgium', 'Italy', 'Spain', 'Spain']"
